0.517	2.310	0.120	2.000
0.324	1.510	0.190	2.000
0.586	0.819	0.132	2.000
0.559	2.110	0.214	2.000
0.440	2.330	0.134	2.000
0.488	2.910	0.202	2.000
0.552	2.220	0.324	2.000
0.568	1.990	0.147	2.000
0.360	2.100	0.215	2.000
0.480	1.440	0.188	2.000
0.600	2.300	0.222	2.000
0.580	3.310	0.171	2.000
0.600	2.920	0.140	2.000
0.412	1.910	0.200	2.000
0.318	1.230	0.160	2.000
0.459	2.580	0.260	2.000
0.323	0.720	0.120	2.000
0.569	2.490	0.329	2.000
0.600	2.050	0.225	2.000
0.440	0.720	0.120	2.000
0.600	1.580	0.256	2.000
0.560	1.870	0.188	2.000
0.314	1.540	0.120	2.000
0.600	3.190	0.314	2.000
0.520	2.450	0.256	2.000
0.600	2.160	0.290	2.000
0.500	1.440	0.205	2.000
0.600	0.720	0.120	2.000
0.550	1.520	0.240	2.000
0.591	2.210	0.240	2.000
