0.5110	2.0400	0.2050	
0.2860	1.5300	0.1340	
0.5730	2.1800	0.2580	
0.5010	2.0100	0.1950	
0.4540	2.4300	0.2040	
0.3670	1.4300	0.1470	
0.5770	2.3100	0.2660	
0.5330	3.1200	0.1660	
0.5660	2.3400	0.2770	
0.4900	1.7400	0.1270	
0.3580	1.1400	0.1250	
0.4840	2.5800	0.1880	
0.4070	1.8200	0.1500	
0.4960	2.8200	0.2270	
0.3780	1.6600	0.2190	
0.5690	3.1100	0.1810	
0.4310	1.7800	0.2480	
0.5940	2.3500	0.2510	
0.5230	1.5900	0.2570	
0.4460	1.3800	0.2080	
0.4570	2.5500	0.1530	
0.4810	2.4500	0.2650	
0.5840	3.3600	0.2850	
0.5530	2.0400	0.1210	
0.3970	2.2500	0.2180	
0.5280	2.6600	0.1710	
0.5370	2.1800	0.3020	
0.5500	0.9170	0.1330	
0.3730	1.2400	0.1790	
0.4730	1.4100	0.2100	
