0.5380	1.6500	0.2620	
0.3980	1.8400	0.1960	
0.5020	2.9700	0.1280	
0.5270	2.6100	0.2820	
0.3130	1.3900	0.1350	
0.5960	1.5600	0.2190	
0.3180	1.6100	0.1680	
0.5340	1.4500	0.2310	
0.4900	2.0700	0.2270	
0.5700	2.4000	0.1800	
0.3800	1.6600	0.2160	
0.4650	2.2100	0.2070	
0.3910	1.9300	0.1780	
0.5440	2.6800	0.1700	
0.4670	2.2800	0.2580	
0.2260	0.7550	0.1220	
0.5070	0.9800	0.1580	
0.3240	1.9000	0.1850	
0.5660	2.4300	0.2930	
0.5640	1.7800	0.2690	
0.5420	2.6300	0.2260	
0.5210	2.1600	0.2010	
0.5840	1.6800	0.2470	
0.4790	2.3200	0.1830	
0.4080	1.7400	0.2130	
0.5480	2.5300	0.2980	
0.4410	2.1400	0.1490	
0.5890	2.2000	0.2920	
0.5150	2.0500	0.2960	
0.3080	1.7100	0.1460	
